"text","intent"
"выпускной","answer_event"
"на последний звонок","answer_event"
"на помолвку","answer_event"
"помолвка","answer_event"
"на предложение","answer_event"
"предложение руки и сердца","answer_event"
"на роспись","answer_event"
"на крестины","answer_event"
"на день матери","answer_event"
"день матери","answer_event"
"на 14 февраля","answer_event"
"14 февраля","answer_event"
"день святого валентина","answer_event"
"на новый год","answer_event"
"новый год","answer_event"
"на рождество","answer_event"
"рождество","answer_event"
"на 1 сентября","answer_event"
"первое сентября","answer_event"
"на день учителя","answer_event"
"день учителя","answer_event"
"на повышение","answer_event"
"повышение на работе","answer_event"
"на открытие","answer_event"
"открытие магазина","answer_event"
"на новоселье","answer_event"
"новоселье","answer_event"
"на выписку","answer_event"
"выписка из роддома","answer_event"
"на благодарность","answer_event"
"сказать спасибо","answer_event"
"поблагодарить","answer_event"
"попросить прощения","answer_event"
"извиниться","answer_event"
"помириться","answer_event"
"для примирения","answer_event"
"на встречу","answer_event"
"на праздник","answer_event"
"праздничный повод","answer_event"
"романтический вечер","answer_event"
"ужин","answer_event"
"на свидание вечером","answer_event"
"на корпоратив","answer_event"
"корпоратив","answer_event"
"на похороны","answer_event"
"траур","answer_event"
"соболезнование","answer_event"
"на концерт","answer_event"
"после спектакля","answer_event"
"на фотосессию","answer_event"
"для фотосессии","answer_event"
"на день ангела","answer_event"
"именины","answer_event"
"на годовщину отношений","answer_event"
"месяц отношений","answer_event"
"полгода отношений","answer_event"
"на 2 года вместе","answer_event"
"на 5 лет вместе","answer_event"
"в знак внимания","answer_event"
"для сюрприза","answer_event"
"на праздник весны","answer_event"
"к 8 марта","answer_event"
"к дню рождения","answer_event"
"розовый","answer_color"
"красный","answer_color"
"белый","answer_color"
"желтый","answer_color"
"фиолетовый","answer_color"
"нежно розовый","answer_color"
"светлый цвет","answer_color"
"что нибудь розовое","answer_color"
"предпочитает красный","answer_color"
"белые цветы","answer_color"
"розовые цветы","answer_color"
"любит фиолетовый цвет","answer_color"
"пастельный","answer_color"
"пастельные тона","answer_color"
"нежные цвета","answer_color"
"яркие цвета","answer_color"
"темные оттенки","answer_color"
"светлые оттенки","answer_color"
"кремовый","answer_color"
"айвори","answer_color"
"молочный","answer_color"
"персиковый","answer_color"
"оранжевый","answer_color"
"синий","answer_color"
"голубой","answer_color"
"лавандовый","answer_color"
"сиреневый","answer_color"
"бордовый","answer_color"
"винный","answer_color"
"марсала","answer_color"
"коралловый","answer_color"
"лососевый","answer_color"
"бежевый","answer_color"
"зеленый","answer_color"
"мятный","answer_color"
"лиловый","answer_color"
"малиновый","answer_color"
"фуксия","answer_color"
"шампань","answer_color"
"золотистый","answer_color"
"серебристый","answer_color"
"черный","answer_color"
"красно белый","answer_color"
"бело розовый","answer_color"
"розово белый","answer_color"
"желто белый","answer_color"
"сине белый","answer_color"
"фиолетово белый","answer_color"
"пудровый","answer_color"
"пыльная роза","answer_color"
"нюдовый","answer_color"
"теплые оттенки","answer_color"
"холодные оттенки","answer_color"
"любит белый","answer_color"
"любит красный","answer_color"
"любит желтый","answer_color"
"любит розовый","answer_color"
"любит сиреневый","answer_color"
"хочет пастель","answer_color"
"без ярких цветов","answer_color"
"не красный","answer_color"
"не желтый","answer_color"
"не белый","answer_color"
"только белые","answer_color"
"только красные","answer_color"
"только розовые","answer_color"
"что нибудь светлое","answer_color"
"что нибудь яркое","answer_color"
"что нибудь нежное","answer_color"
"цвета не важны","answer_color"
"любой цвет","answer_color"
"на твой вкус","answer_color"
"главное нежный","answer_color"
"главное яркий","answer_color"
"нежно сиреневый","answer_color"
"белые и зеленые","answer_color"
"красные и розовые","answer_color"
"300","answer_budget"
"400","answer_budget"
"500","answer_budget"
"600","answer_budget"
"700","answer_budget"
"до 300","answer_budget"
"до 400","answer_budget"
"до 500","answer_budget"
"до 1000","answer_budget"
"500 лей","answer_budget"
"примерно 400","answer_budget"
"не дороже 500","answer_budget"
"100","answer_budget"
"150","answer_budget"
"200","answer_budget"
"250","answer_budget"
"350","answer_budget"
"450","answer_budget"
"550","answer_budget"
"650","answer_budget"
"750","answer_budget"
"800","answer_budget"
"900","answer_budget"
"1000","answer_budget"
"1200","answer_budget"
"1500","answer_budget"
"2000","answer_budget"
"2500","answer_budget"
"3000","answer_budget"
"100 лей","answer_budget"
"150 лей","answer_budget"
"200 лей","answer_budget"
"250 лей","answer_budget"
"300 лей","answer_budget"
"350 лей","answer_budget"
"400 лей","answer_budget"
"450 лей","answer_budget"
"600 лей","answer_budget"
"700 лей","answer_budget"
"800 лей","answer_budget"
"900 лей","answer_budget"
"1000 лей","answer_budget"
"до 200 лей","answer_budget"
"до 300 лей","answer_budget"
"до 500 лей","answer_budget"
"до 700 лей","answer_budget"
"до 800 лей","answer_budget"
"до 1500 лей","answer_budget"
"около 300","answer_budget"
"около 500","answer_budget"
"около 700","answer_budget"
"примерно 1000","answer_budget"
"где то 600","answer_budget"
"где то 800","answer_budget"
"бюджет 400","answer_budget"
"бюджет 500","answer_budget"
"бюджет 1000","answer_budget"
"у меня 300","answer_budget"
"у меня 500","answer_budget"
"у меня 1000","answer_budget"
"не дороже 300","answer_budget"
"не дороже 700","answer_budget"
"не дороже 1000","answer_budget"
"максимум 400","answer_budget"
"максимум 500","answer_budget"
"максимум 800","answer_budget"
"максимум 1000","answer_budget"
"минимум 500","answer_budget"
"от 300 до 500","answer_budget"
"от 500 до 700","answer_budget"
"от 700 до 1000","answer_budget"
"300 500","answer_budget"
"500 700","answer_budget"
"любой бюджет","answer_budget"
"бюджет не важен","answer_budget"
"сколько нужно","answer_budget"
"хочу недорого","answer_budget"
"средний бюджет","answer_budget"
"дорогой букет","answer_budget"
"премиум бюджет","answer_budget"
"эконом вариант","answer_budget"
"18","answer_age"
"20","answer_age"
"22","answer_age"
"25","answer_age"
"30","answer_age"
"ей 18","answer_age"
"ей 20 лет","answer_age"
"ей 22 года","answer_age"
"возраст 25","answer_age"
"ей примерно 30","answer_age"
"16","answer_age"
"17","answer_age"
"19","answer_age"
"21","answer_age"
"23","answer_age"
"24","answer_age"
"26","answer_age"
"27","answer_age"
"28","answer_age"
"29","answer_age"
"31","answer_age"
"32","answer_age"
"33","answer_age"
"34","answer_age"
"35","answer_age"
"36","answer_age"
"37","answer_age"
"38","answer_age"
"39","answer_age"
"40","answer_age"
"45","answer_age"
"50","answer_age"
"55","answer_age"
"60","answer_age"
"65","answer_age"
"70","answer_age"
"18 лет","answer_age"
"20 лет","answer_age"
"25 лет","answer_age"
"30 лет","answer_age"
"35 лет","answer_age"
"40 лет","answer_age"
"50 лет","answer_age"
"60 лет","answer_age"
"ей 17 лет","answer_age"
"ей 19 лет","answer_age"
"ей 21 год","answer_age"
"ей 23 года","answer_age"
"ей 24 года","answer_age"
"ей 25 лет","answer_age"
"ей 26 лет","answer_age"
"ей 27 лет","answer_age"
"ей 28 лет","answer_age"
"ей 29 лет","answer_age"
"ей 30 лет","answer_age"
"ей 35 лет","answer_age"
"ей 40 лет","answer_age"
"ей 45 лет","answer_age"
"ей 50 лет","answer_age"
"ей 55 лет","answer_age"
"ей 60 лет","answer_age"
"возраст 18","answer_age"
"возраст 20","answer_age"
"возраст 30","answer_age"
"возраст 40","answer_age"
"примерно 18","answer_age"
"примерно 25","answer_age"
"примерно 35","answer_age"
"около 20","answer_age"
"около 30","answer_age"
"около 50","answer_age"
"молодая","answer_age"
"совсем молодая","answer_age"
"студентка","answer_age"
"взрослая","answer_age"
"пожилая","answer_age"
"пенсионерка","answer_age"
"девушке 18","answer_age"
"девушке 25","answer_age"
"маме 45","answer_age"
"маме 50","answer_age"
"бабушке 70","answer_age"
"жене 30","answer_age"
"голубые","answer_eye_color"
"карие","answer_eye_color"
"зеленые","answer_eye_color"
"серые","answer_eye_color"
"у нее голубые глаза","answer_eye_color"
"у нее карие глаза","answer_eye_color"
"зеленые глаза","answer_eye_color"
"глаза голубые","answer_eye_color"
"синие","answer_eye_color"
"черные","answer_eye_color"
"ореховые","answer_eye_color"
"янтарные","answer_eye_color"
"светло карие","answer_eye_color"
"темно карие","answer_eye_color"
"серо голубые","answer_eye_color"
"серо зеленые","answer_eye_color"
"голубоглазая","answer_eye_color"
"кареглазая","answer_eye_color"
"зеленоглазая","answer_eye_color"
"сероглазая","answer_eye_color"
"глаза карие","answer_eye_color"
"глаза зеленые","answer_eye_color"
"глаза серые","answer_eye_color"
"глаза синие","answer_eye_color"
"глаза черные","answer_eye_color"
"у нее зеленые глаза","answer_eye_color"
"у нее серые глаза","answer_eye_color"
"у нее синие глаза","answer_eye_color"
"у нее темные глаза","answer_eye_color"
"у нее светлые глаза","answer_eye_color"
"у нее серо зеленые глаза","answer_eye_color"
"у нее серо голубые глаза","answer_eye_color"
"кажется карие","answer_eye_color"
"кажется голубые","answer_eye_color"
"кажется зеленые","answer_eye_color"
"не помню цвет глаз","answer_eye_color"
"цвет глаз не знаю","answer_eye_color"
"глаза красивые","answer_eye_color"
"карий цвет глаз","answer_eye_color"
"голубой цвет глаз","answer_eye_color"
"зеленый цвет глаз","answer_eye_color"
"серый цвет глаз","answer_eye_color"
"темные глаза","answer_eye_color"
"светлые глаза","answer_eye_color"
"карие вроде","answer_eye_color"
"голубые вроде","answer_eye_color"
"зеленые вроде","answer_eye_color"
"серые вроде","answer_eye_color"
"смешанный цвет глаз","answer_eye_color"
"болотные глаза","answer_eye_color"
"ореховые глаза","answer_eye_color"
"медовые глаза","answer_eye_color"
"у нее медовые глаза","answer_eye_color"
"у нее ореховые глаза","answer_eye_color"
"у нее болотные глаза","answer_eye_color"
"глаза хамелеон","answer_eye_color"
"цвет глаз хамелеон","answer_eye_color"
"необычные глаза","answer_eye_color"
"ярко голубые","answer_eye_color"
"ярко зеленые","answer_eye_color"
"почти черные","answer_eye_color"
"темно зеленые","answer_eye_color"
"светло голубые","answer_eye_color"
"светло зеленые","answer_eye_color"
"голубые глаза у нее","answer_eye_color"
"карие глаза у нее","answer_eye_color"
"зеленые глаза у нее","answer_eye_color"
"серые глаза у нее","answer_eye_color"
"синие глаза у нее","answer_eye_color"
"не уверен в цвете глаз","answer_eye_color"
"скорее карие","answer_eye_color"
"скорее голубые","answer_eye_color"
"скорее зеленые","answer_eye_color"
"скорее серые","answer_eye_color"
"1 год","answer_years_together"
"2 года","answer_years_together"
"3 года","answer_years_together"
"5 лет","answer_years_together"
"мы вместе 2 года","answer_years_together"
"мы вместе 3 года","answer_years_together"
"уже 5 лет вместе","answer_years_together"
"год вместе","answer_years_together"
"1 месяц","answer_years_together"
"2 месяца","answer_years_together"
"3 месяца","answer_years_together"
"4 месяца","answer_years_together"
"5 месяцев","answer_years_together"
"полгода","answer_years_together"
"6 месяцев","answer_years_together"
"7 месяцев","answer_years_together"
"8 месяцев","answer_years_together"
"9 месяцев","answer_years_together"
"10 месяцев","answer_years_together"
"11 месяцев","answer_years_together"
"месяц вместе","answer_years_together"
"два месяца вместе","answer_years_together"
"три месяца вместе","answer_years_together"
"пол года вместе","answer_years_together"
"мы вместе полгода","answer_years_together"
"мы вместе месяц","answer_years_together"
"мы вместе 6 месяцев","answer_years_together"
"мы вместе 1 год","answer_years_together"
"мы вместе год","answer_years_together"
"мы вместе 4 года","answer_years_together"
"мы вместе 5 лет","answer_years_together"
"мы вместе 6 лет","answer_years_together"
"мы вместе 7 лет","answer_years_together"
"мы вместе 10 лет","answer_years_together"
"вместе 1 год","answer_years_together"
"вместе 2 года","answer_years_together"
"вместе 3 года","answer_years_together"
"вместе 4 года","answer_years_together"
"вместе 5 лет","answer_years_together"
"вместе 10 лет","answer_years_together"
"уже год","answer_years_together"
"уже два года","answer_years_together"
"уже три года","answer_years_together"
"уже четыре года","answer_years_together"
"уже десять лет","answer_years_together"
"недавно вместе","answer_years_together"
"только начали встречаться","answer_years_together"
"только познакомились","answer_years_together"
"первый месяц","answer_years_together"
"первая годовщина","answer_years_together"
"вторая годовщина","answer_years_together"
"третья годовщина","answer_years_together"
"пять лет отношений","answer_years_together"
"семь лет отношений","answer_years_together"
"десять лет отношений","answer_years_together"
"отношениям год","answer_years_together"
"отношениям два года","answer_years_together"
"отношениям три года","answer_years_together"
"отношениям пять лет","answer_years_together"
"давно вместе","answer_years_together"
"очень давно вместе","answer_years_together"
"с детства вместе","answer_years_together"
"пару недель","answer_years_together"
"две недели","answer_years_together"
"три недели","answer_years_together"
"почти год","answer_years_together"
"почти два года","answer_years_together"
"больше года","answer_years_together"
"больше двух лет","answer_years_together"
"меньше года","answer_years_together"
"около года","answer_years_together"
"около трех лет","answer_years_together"
"около пяти лет","answer_years_together"
"4 года","answer_years_together"
"6 лет","answer_years_together"
"7 лет","answer_years_together"
"8 лет","answer_years_together"
"9 лет","answer_years_together"
"10 лет","answer_years_together"
"не знаю","unknown"
"затрудняюсь ответить","unknown"
"сложно сказать","unknown"
"я не уверен","unknown"
"не понял вопрос","unknown"
"что?","unknown"
"эм","unknown"
"ну не знаю","unknown"
"не уверен","unknown"
"без понятия","unknown"
"понятия не имею","unknown"
"не могу сказать","unknown"
"не могу ответить","unknown"
"пока не знаю","unknown"
"не решил","unknown"
"не решила","unknown"
"не определился","unknown"
"не определилась","unknown"
"затрудняюсь","unknown"
"не помню","unknown"
"забыл","unknown"
"забыла","unknown"
"не важно","unknown"
"без разницы","unknown"
"все равно","unknown"
"как получится","unknown"
"на твое усмотрение","unknown"
"выбери сам","unknown"
"выбери сама","unknown"
"реши за меня","unknown"
"не имеет значения","unknown"
"любой вариант","unknown"
"не принципиально","unknown"
"не могу выбрать","unknown"
"не знаю что сказать","unknown"
"сложно выбрать","unknown"
"не разбираюсь","unknown"
"я в этом не разбираюсь","unknown"
"я не понимаю","unknown"
"не понял","unknown"
"не поняла","unknown"
"повтори вопрос","unknown"
"можешь повторить","unknown"
"что ты имеешь в виду","unknown"
"не совсем понял","unknown"
"не совсем поняла","unknown"
"я запутался","unknown"
"я запуталась","unknown"
"пока думаю","unknown"
"даже не знаю","unknown"
"хз","unknown"
"не шарю","unknown"
"как скажешь","unknown"
"как лучше","unknown"
"как правильно","unknown"
"как посоветуешь","unknown"
"на вкус флориста","unknown"
"оставляю выбор тебе","unknown"
"пусть будет как надо","unknown"
"не знаю пока","unknown"
"без предпочтений","unknown"
"нет предпочтений","unknown"
"нет идей","unknown"
"ничего не приходит в голову","unknown"
"не могу определиться","unknown"
"вопрос сложный","unknown"
"не хочу отвечать","unknown"
"пропустить","unknown"
"давай пропустим","unknown"
"можно пропустить","unknown"
"следующий вопрос","unknown"
"не актуально","unknown"
"не относится","unknown"
"не подходит","unknown"
"не знаю честно","unknown"
"честно не знаю","unknown"
"мне все равно","unknown"
"любой подойдет","unknown"
"пусть будет любой","unknown"
